Tweet,Date,FC,RC,Hashtags,DOW,Month,Hour,Minute,Time
Thank you West Virginia. Let's keep it going. Go out and vote on Tuesday - we will win big. #Trump2016,2016-05-06 03:19:09+00:00,14675,5329,#Trump2016,Friday,5,3,19,3.32
"Can you believe Crooked Hillary said, ""We are going to put a whole lot of coal miners&coal companies out of business."" She then apologized.",2016-05-06 01:57:05+00:00,22264,8180,,Friday,5,1,57,1.95
"Bernie Sanders has been treated terribly by the Democrats—both with delegates & otherwise. He should show them, & run as an Independent.",2016-05-05 19:30:32+00:00,28487,9757,,Thursday,5,19,30,19.5
Happy #CincoDeMayo! The best taco bowls are made in Trump Tower Grill. I love Hispanics! https://www.facebook.com/DonaldTrump/posts/10157008375200725:0,2016-05-05 18:57:30+00:00,145507,94359,#CincoDeMayo,Thursday,5,18,57,18.95
I would rather run against Crooked Hillary Clinton than Bernie Sanders and that will happen because the books are cooked against Bernie!,2016-05-04 09:44:28+00:00,25027,10505,,Wednesday,5,9,44,9.73
What a great evening we had. So interesting that Sanders beat Crooked Hillary. The dysfunctional system is totally rigged against him!,2016-05-04 09:25:10+00:00,21005,6426,,Wednesday,5,9,25,9.42
"Thank you Indiana, we were just projected to be the winner. We have won in every category. You are very special people-I will never forget!",2016-05-03 23:38:34+00:00,32634,9481,,Tuesday,5,23,38,23.63
Thank you Indiana! #Trump2016 #MakeAmericaGreatAgain,2016-05-03 23:14:30+00:00,24835,9031,#Trump2016 #MakeAmericaGreatAgain,Tuesday,5,23,14,23.23
"Lyin' Ted Cruz consistently said that he will, and must, win Indiana. If he doesn't he should drop out of the race-stop wasting time & money",2016-05-03 23:08:44+00:00,20998,5581,,Tuesday,5,23,8,23.13
"Wow, Lyin' Ted Cruz really went wacko today. Made all sorts of crazy charges. Can't function under pressure - not very presidential. Sad!",2016-05-03 23:02:55+00:00,21952,7300,,Tuesday,5,23,2,23.03
Honored to have received the endorsement of Lou Holtz - a great guy! #INPrimary #Trump2016,2016-05-02 19:57:55+00:00,22183,8770,#INPrimary #Trump2016,Monday,5,19,57,19.95
I will defeat Crooked Hillary Clinton on 11/8/2016. #Trump2016 #MakeAmericaGreatAgain,2016-05-02 16:16:14+00:00,23543,9195,#Trump2016 #MakeAmericaGreatAgain,Monday,5,16,16,16.27
Everybody is talking about the protesters burning the American flags and proudly waving Mexican flags. I want America First - so do voters!,2016-05-02 14:06:30+00:00,23790,8704,,Monday,5,14,6,14.1
"Gov Mike Pence has just stated that Donald Trump has taken a strong stance on Hoosier jobs, and he thanks me! I will bring back jobs to USA.",2016-05-02 11:21:02+00:00,12910,4087,,Monday,5,11,21,11.35
"Crooked Hillary Clinton said she is used to ""dealing with men who get off the reservation."" Actually, she has done poorly with such men!",2016-05-02 11:12:40+00:00,13138,4400,,Monday,5,11,12,11.2
"Thank you Fort Wayne, Indiana! #Trump2016 #INPrimary",2016-05-01 21:31:05+00:00,15097,5062,#Trump2016 #INPrimary,Sunday,5,21,31,21.52
I will be in Indiana on Sunday and Monday at four MAKE AMERICA GREAT AGAIN rallies. See you there!,2016-05-01 03:10:35+00:00,14686,4704,,Sunday,5,3,10,3.17
The economy is bad and getting worse-almost ZERO growth this quarter. Nobody can beat me on the economy (and jobs). MAKE AMERICA GREAT AGAIN,2016-04-30 17:21:35+00:00,18710,6711,,Saturday,4,17,21,17.35
"The ""protesters"" in California were thugs and criminals. Many are professionals. They should be dealt with strongly by law enforcement!",2016-04-30 13:31:13+00:00,28850,10113,,Saturday,4,13,31,13.52
We are now at 1001 delegates. We will win on the first ballot and are not wasting time and effort on other ballots because system is rigged!,2016-04-29 18:28:05+00:00,27292,10075,,Friday,4,18,28,18.47
"Crooked Hillary Clinton, perhaps the most dishonest person to have ever run for the presidency, is also one of the all time great enablers!",2016-04-29 13:46:49+00:00,21238,8212,,Friday,4,13,46,13.77
"Wow, the ridiculous deal made between Lyin'Ted Cruz and 1 for 42 John Kasich has just blown up. What a dumb deal - dead on arrival!",2016-04-29 11:22:04+00:00,15505,4692,,Friday,4,11,22,11.37
"Thank you Costa Mesa, California! 31,000 people tonight with thousands turned away. I will be back! #Trump2016",2016-04-29 04:24:09+00:00,26052,8394,#Trump2016,Friday,4,4,24,4.4
I will be interviewed on @foxandfriends with the legendary Coach Bobby Knight- tomorrow morning. Enjoy! #INDPrimary,2016-04-29 00:40:56+00:00,11563,3278,#INDPrimary,Friday,4,0,40,0.67
So many false and phony T.V. commercials being broadcast in Indiana. Reminds me of Florida where thousands were put up-I won in a landslide!,2016-04-28 13:25:54+00:00,13685,4582,,Thursday,4,13,25,13.42
"Lyin' Ted Cruz, who can never beat Hillary Clinton and has NO path to victory, has chosen a V.P.candidate who failed badly in her own effort",2016-04-28 11:31:48+00:00,15541,4699,,Thursday,4,11,31,11.52
"I am in Indiana where we just had a great rally. Fantastic people! Staying at a Holiday Inn Express - new and clean, not bad!",2016-04-28 03:17:17+00:00,18431,4603,,Thursday,4,3,17,3.28
"Thank you for the endorsement, Coach Bobby Knight! I will never forget it! https://www.facebook.com/DonaldTrump/posts/10156977481470725:0",2016-04-28 01:47:39+00:00,13288,4595,,Thursday,4,1,47,1.78
Agreed!,2016-04-27 18:51:08+00:00,16230,7577,,Wednesday,4,18,51,18.85
Thank you Rhode Island! #Trump2016 – at Trump Tower,2016-04-27 00:28:31+00:00,15260,4669,#Trump2016,Wednesday,4,0,28,0.47
Thank you Pennsylvania! #Trump2016 – at Trump Tower,2016-04-27 00:14:19+00:00,17986,6636,#Trump2016,Wednesday,4,0,14,0.23
Thank you Maryland! #Trump2016 – at Trump Tower,2016-04-27 00:08:20+00:00,15464,5527,#Trump2016,Wednesday,4,0,8,0.13
"Thank you for the incredible support- Melania, Barron, Ivanka, Jared, Tiffany, Don, Vanessa, Eric, and Lara!",2016-04-26 16:18:18+00:00,10750,3512,,Tuesday,4,16,18,16.3
"Bernie Sanders has been treated terribly by the Democrats—both with delegates & otherwise. He should show them, and run as an Independent!",2016-04-26 16:07:35+00:00,24902,9364,,Tuesday,4,16,7,16.12
"The Cruz-Kasich pact is under great strain. This joke of a deal is falling apart, not being honored and almost dead. Very dumb!",2016-04-26 10:42:39+00:00,14085,4389,,Tuesday,4,10,42,10.7
"Thank you Wilkes-Barre, Pennsylvania! #MakeAmericaGreatAgain #Trump2016",2016-04-26 01:52:16+00:00,10881,4015,#MakeAmericaGreatAgain #Trump2016,Tuesday,4,1,52,1.87
Passing what was once a vibrant manufacturing area in Pennsylvania. So sad! #MakeAmericaGreatAgain,2016-04-25 22:11:06+00:00,16603,6398,#MakeAmericaGreatAgain,Monday,4,22,11,22.18
Kasich just announced that he wants the people of Indiana to vote for him. Typical politician - can't make a deal work.,2016-04-25 16:15:58+00:00,11639,4065,,Monday,4,16,15,16.25
Shows how weak and desperate Lyin' Ted is when he has to team up with a guy who openly can't stand him and is only 1 win and 38 losses.,2016-04-25 11:59:06+00:00,15406,5759,,Monday,4,11,59,11.98
Lyin' Ted Cruz and 1 for 38 Kasich are unable to beat me on their own so they have to team up (collusion) in a two on one. Shows weakness!,2016-04-25 11:54:21+00:00,17538,6443,,Monday,4,11,54,11.9
Lyin' Ted and Kasich are mathematically dead and totally desperate. Their donors & special interest groups are not happy with them. Sad!,2016-04-25 03:49:17+00:00,18846,6562,,Monday,4,3,49,3.82
"Wow, just announced that Lyin' Ted and Kasich are going to collude in order to keep me from getting the Republican nomination. DESPERATION!",2016-04-25 03:39:58+00:00,24023,9625,,Monday,4,3,39,3.65
Lynne Ryan -- just read your great story in the NY Times -- I am proud of you. Thanks!,2016-04-23 20:29:50+00:00,12673,3642,,Saturday,4,20,29,20.48
Pennsylvania: Cast your vote for Trump for POTUS & ALSO vote for the TRUMP DELEGATES in your congressional district!,2016-04-23 13:58:30+00:00,13531,6474,,Saturday,4,13,58,13.97
Thank you Indiana! Was great seeing everyone on Wednesday! I will be back soon! #Trump2016 http://bit.ly/23PbVEnINDIANA,2016-04-23 00:03:07+00:00,10602,3563,#Trump2016,Saturday,4,0,3,0.05
"Thank you for the incredible support, Maryland! This is a movement! #MakeAmericaGreatAgain #Trump2016",2016-04-22 17:35:37+00:00,12753,4561,#MakeAmericaGreatAgain #Trump2016,Friday,4,17,35,17.58
I met Prince on numerous occasions. He was an amazing talent and wonderful guy. He will be greatly missed!,2016-04-22 15:00:11+00:00,22021,5600,,Friday,4,15,0,15.0
Cruz said Kasich should leave because he couldn't get to 1237. Now he can't get to 1237. Drop out LYIN' Ted.,2016-04-21 22:16:27+00:00,18618,6778,,Thursday,4,22,16,22.27
Both Ted Cruz and John Kasich have no path to victory. They should both drop out of the race so that the Republican Party can unify!,2016-04-21 21:47:21+00:00,20810,7063,,Thursday,4,21,47,21.78
Senator Ted Cruz has been MATHEMATICALLY ELIMINATED from race. He said Kasich should get out for same reason. I think both should get out!,2016-04-21 10:22:03+00:00,21836,7863,,Thursday,4,10,22,10.37
Thank you Maryland- what a great way to conclude the day! Will be back soon. #Trump2016 https://www.facebook.com/DonaldTrump/posts/10156952559355725:0,2016-04-21 02:26:19+00:00,10185,3319,#Trump2016,Thursday,4,2,26,2.43
We are going to bring steel and manufacturing back to Indiana!,2016-04-21 01:58:27+00:00,12847,4238,,Thursday,4,1,58,1.97
